basophil,thyroid gland
neutrophil,adipose tissue
bone marrow,placenta
neutrophil,placenta
bone marrow,adipose tissue
neutrophil,basophil
heart muscle,thyroid gland
heart muscle,placenta
bone marrow,neutrophil
heart muscle,liver
bone marrow,thyroid gland
neutrophil,thyroid gland
neutrophil,liver
basophil,neutrophil
heart muscle,neutrophil
basophil,adipose tissue
bone marrow,basophil
heart muscle,basophil
basophil,placenta
heart muscle,adipose tissue
basophil,plasmacytoid DC
basophil,liver
neutrophil,plasmacytoid DC
heart muscle,plasmacytoid DC
bone marrow,liver
bone marrow,plasmacytoid DC
