plasmacytoid DC,memory B-cell
eosinophil,liver
intermediate monocyte,memory B-cell
classical monocyte,thyroid gland
myeloid DC,memory B-cell
intermediate monocyte,skeletal muscle
non-classical monocyte,memory B-cell
plasmacytoid DC,skeletal muscle
salivary gland,liver
plasmacytoid DC,liver
classical monocyte,naive B-cell
classical monocyte,intestine
classical monocyte,liver
intermediate monocyte,intestine
non-classical monocyte,skeletal muscle
salivary gland,neutrophil
classical monocyte,memory B-cell
classical monocyte,skeletal muscle
salivary gland,naive B-cell
plasmacytoid DC,neutrophil
salivary gland,memory B-cell
myeloid DC,thyroid gland
non-classical monocyte,naive B-cell
non-classical monocyte,thyroid gland
non-classical monocyte,liver
salivary gland,skeletal muscle
non-classical monocyte,intestine
eosinophil,thyroid gland
eosinophil,naive B-cell
intermediate monocyte,liver
intermediate monocyte,naive B-cell
plasmacytoid DC,intestine
salivary gland,intestine
non-classical monocyte,neutrophil
classical monocyte,neutrophil
eosinophil,skeletal muscle
myeloid DC,intestine
plasmacytoid DC,thyroid gland
intermediate monocyte,thyroid gland
salivary gland,thyroid gland
eosinophil,neutrophil
myeloid DC,naive B-cell
intermediate monocyte,neutrophil
plasmacytoid DC,naive B-cell
myeloid DC,liver
myeloid DC,neutrophil
eosinophil,intestine
myeloid DC,skeletal muscle
eosinophil,memory B-cell
